"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"CA00702LED4","L ACADIE, QC CA","2019-01-01","10.0",,"0.0","-3.2","4.0","-10.4"
"CA00702LED4","L ACADIE, QC CA","2019-01-02","0.7",,,"-10.8","-8.2","-13.4"
"CA00702LED4","L ACADIE, QC CA","2019-01-03","4.9",,"50.0","-8.5","-3.0","-13.9"
"CA00702LED4","L ACADIE, QC CA","2019-01-04","0.8",,"120.0","-0.6","3.2","-4.4"
"CA00702LED4","L ACADIE, QC CA","2019-01-05","0.3",,"80.0","-2.3","2.9","-7.5"
"CA00702LED4","L ACADIE, QC CA","2019-01-06","1.5",,"70.0","-6.0","0.9","-12.8"
"CA00702LED4","L ACADIE, QC CA","2019-01-07","0.4",,"80.0","-14.9","-8.8","-20.9"
"CA00702LED4","L ACADIE, QC CA","2019-01-08","8.8",,"70.0","-3.5","2.0","-8.9"
"CA00702LED4","L ACADIE, QC CA","2019-01-09","2.5",,"70.0","-1.2","0.6","-3.0"
"CA00702LED4","L ACADIE, QC CA","2019-01-10","0.8",,"150.0","-7.8","-2.9","-12.8"
"CA00702LED4","L ACADIE, QC CA","2019-01-11",,,"110.0",,,
"CA00702LED4","L ACADIE, QC CA","2019-01-12","0.0",,"100.0","-17.3","-13.6","-21.1"
"CA00702LED4","L ACADIE, QC CA","2019-01-13","0.0",,"110.0","-17.5","-12.1","-22.9"
"CA00702LED4","L ACADIE, QC CA","2019-01-14","0.0",,"100.0","-15.2","-8.8","-21.7"
"CA00702LED4","L ACADIE, QC CA","2019-01-15","0.0",,"100.0","-5.9","-2.0","-9.8"
"CA00702LED4","L ACADIE, QC CA","2019-01-16","0.1",,"110.0","-8.1","1.0","-17.3"
"CA00702LED4","L ACADIE, QC CA","2019-01-17","0.2",,"110.0","-19.1","-14.6","-23.7"
"CA00702LED4","L ACADIE, QC CA","2019-01-18","1.0",,"110.0","-11.5","-7.6","-15.4"
"CA00702LED4","L ACADIE, QC CA","2019-01-19","1.3",,"140.0","-18.4","-12.7","-24.1"
"CA00702LED4","L ACADIE, QC CA","2019-01-20","13.9",,"160.0","-19.2","-17.2","-21.2"
"CA00702LED4","L ACADIE, QC CA","2019-01-21","0.8",,"290.0","-19.7","-17.4","-21.9"
"CA00702LED4","L ACADIE, QC CA","2019-01-22","0.0",,"280.0","-16.3","-10.1","-22.5"
"CA00702LED4","L ACADIE, QC CA","2019-01-23","8.3",,"360.0","-4.5","1.9","-10.9"
"CA00702LED4","L ACADIE, QC CA","2019-01-24","17.3",,"330.0","-1.2","3.4","-5.8"
"CA00702LED4","L ACADIE, QC CA","2019-01-25","0.2",,"280.0","-6.5","-1.7","-11.4"
"CA00702LED4","L ACADIE, QC CA","2019-01-26","0.7",,"270.0","-13.7","-9.7","-17.7"
